Entry,Entry_name,Gene_name,Status,Accession,MCF7_1,MCF7_2,MCF7_3,Doxorubicin_1,Doxorubicin_2,Doxorubicin_3,P-value,P.adjust,log2FC
O43657,TSN6_HUMAN,TSPAN6 TM4SF6 UNQ767/PRO1560,reviewed,O43657,9.474171038,9.149102686,10.08080489,14.83595278,14.40194357,14.99594152,0.000245095,0.001787256,0.623894674
Q5RI15,COX20_HUMAN,COX20 FAM36A,reviewed,Q5RI15,15.73105827,14.69792378,14.74254605,11.68475538,10.99240411,10.97125365,0.001235617,0.004373442,-0.42487525
Q9BW61,DDA1_HUMAN,DDA1 C19orf58 PCIA1,reviewed,Q9BW61,37.7348681,41.37872027,37.70344444,32.55382466,32.72058033,32.32824845,0.033453396,0.046695525,-0.259258371
Q9BZ67,FRMD8_HUMAN,FRMD8 FKSG44,reviewed,Q9BZ67,2.585883924,2.162749803,2.493554687,2.862684925,3.033756888,2.629121665,0.070246551,0.088964281,0.235369478
A0A7P0T9U5,A0A7P0T9U5_HUMAN,ALS2,unreviewed,A0A7P0T9U5,0.552078286,0.609079897,0.5301258,0.900800072,1.069300011,1.111336833,0.0111389,0.018873098,0.865484335
O15162,PLS1_HUMAN,PLSCR1,reviewed,O15162,20.09374588,18.82211732,20.00734036,28.18446345,26.60112913,28.05912332,0.000330991,0.002080035,0.491573811
C9J8E1,C9J8E1_HUMAN,MAPKAPK3,unreviewed,C9J8E1,7.056448891,6.552770584,6.939318668,9.495266236,10.14918467,10.82629667,0.006609287,0.012715212,0.568389134
Q9H000,MKRN2_HUMAN,MKRN2 RNF62 HSPC070,reviewed,Q9H000,36.51648844,36.51124279,36.43843525,49.58247227,50.18377708,47.07406812,0.005765354,0.011595001,0.423763104
Q13371,PHLP_HUMAN,PDCL PHLOP1 PhLP1,reviewed,Q13371,21.22963108,23.601846,22.04089171,13.12731777,13.41818756,13.79649358,0.003778556,0.008705602,-0.729127652
E9PNP3,E9PNP3_HUMAN,AAMDC,unreviewed,E9PNP3,26.74724108,30.23978454,27.97886165,41.0489143,45.99517618,44.68085683,0.001626522,0.005175903,0.632572964
Q96S97,MYADM_HUMAN,MYADM UNQ553/PRO1110,reviewed,Q96S97,26.36649743,25.02389271,26.31555689,29.85463013,29.83041516,30.33011598,0.00582062,0.011666816,0.212143
